tweet,y
"  (0, 6444)	0.3045555910597255
  (0, 3628)	0.5626155455615607
  (0, 3316)	0.5350474766947131
  (0, 2244)	0.3238612741066334
  (0, 38)	0.4467076366745674",0
"  (0, 5975)	0.29806948869642014
  (0, 5346)	0.29806948869642014
  (0, 2786)	0.3173759207199378
  (0, 1750)	0.5596662267869166
  (0, 1016)	0.39401014406275664
  (0, 491)	0.39401014406275664
  (0, 22)	0.31283767693337117",0
"  (0, 6715)	0.2427093251264762
  (0, 6367)	0.5562825541594294
  (0, 6363)	0.2195075839199462
  (0, 5851)	0.35600586846145404
  (0, 4307)	0.36680155141903603
  (0, 3710)	0.26773419051487557
  (0, 2646)	0.2243496207232328
  (0, 1969)	0.2821752785522984
  (0, 636)	0.3471851532228194",1
"  (0, 7144)	0.6729586446255426
  (0, 5111)	0.6729586446255426
  (0, 3769)	0.3070070442962272",1
"  (0, 5707)	0.2594085022248552
  (0, 4940)	0.5486125938749818
  (0, 3769)	0.3058777724130423
  (0, 2580)	0.3188148566809456
  (0, 1096)	0.5323528747186163
  (0, 725)	0.2269026889587206
  (0, 23)	0.3188148566809456",1
"  (0, 7047)	0.2986712987636845
  (0, 6597)	0.2986712987636845
  (0, 5980)	0.31239500604068743
  (0, 5195)	0.31790618675875076
  (0, 5117)	0.4116292496781331
  (0, 2861)	0.327443033100253
  (0, 2623)	0.3753722196851505
  (0, 2591)	0.2748463588841308
  (0, 174)	0.3603241926255849",0
"  (0, 5362)	0.4195206134830609
  (0, 4606)	0.4195206134830609
  (0, 2761)	0.4195206134830609
  (0, 2247)	0.4195206134830609
  (0, 2244)	0.2414908039219017
  (0, 1534)	0.3560075088994709
  (0, 38)	0.3330925767403585",0
"  (0, 5352)	0.4997837524110353
  (0, 5195)	0.36707556685282683
  (0, 4796)	0.4241192517503477
  (0, 4038)	0.4752944310375089
  (0, 27)	0.45791898100545736",0
"  (0, 5216)	0.7401297206526887
  (0, 1374)	0.6724641229140579",0
"  (0, 5661)	0.8484987571240044
  (0, 3470)	0.2853716263031057
  (0, 1567)	0.26810523924447427
  (0, 27)	0.3559950487714734",0
"  (0, 6799)	0.3711280143731856
  (0, 4958)	0.3992687111185205
  (0, 4807)	0.34333130301201586
  (0, 3591)	0.40700837318715033
  (0, 2120)	0.27695786913270076
  (0, 248)	0.3668326149934003
  (0, 93)	0.4561189155246361",1
"  (0, 7140)	0.36507808379156675
  (0, 6368)	0.24007918970813036
  (0, 5548)	0.3166082707441022
  (0, 4647)	0.36507808379156675
  (0, 4486)	0.36507808379156675
  (0, 3573)	0.36507808379156675
  (0, 3275)	0.36507808379156675
  (0, 2106)	0.2940710911228829
  (0, 135)	0.29871950489832905",0
"  (0, 6368)	0.32091959290231437
  (0, 5661)	0.3552384680787036
  (0, 5316)	0.39930550424007105
  (0, 4701)	0.32091959290231437
  (0, 4286)	0.4339702753606049
  (0, 1751)	0.44713018625211565
  (0, 1750)	0.34659251507944194",0
"  (0, 7118)	0.45986733994795603
  (0, 5997)	0.41035320295549177
  (0, 5670)	0.43001586610751497
  (0, 5661)	0.35200147613482763
  (0, 4199)	0.4835617877297047
  (0, 2244)	0.27835515374377057",0
"  (0, 7059)	0.35567397905824993
  (0, 6789)	0.44224429065910553
  (0, 5619)	0.3692268640038268
  (0, 2726)	0.46503071913864175
  (0, 1152)	0.33027320722848735
  (0, 927)	0.46503071913864175",0
"  (0, 4741)	0.23884489273933857
  (0, 4307)	0.34622182879981683
  (0, 3198)	0.377874803058494
  (0, 2307)	0.23370851937748363
  (0, 1376)	0.28586306986290677
  (0, 1001)	0.23274710304616705
  (0, 865)	0.6183804456891608
  (0, 796)	0.32770602582219865",1
"  (0, 3025)	0.22633067267388257
  (0, 3007)	0.9091173746292341
  (0, 1969)	0.349685609875838",1
"  (0, 6464)	0.3515832353070617
  (0, 5914)	0.368518954304763
  (0, 5143)	0.4871354223825325
  (0, 2453)	0.3186388962650798
  (0, 1812)	0.4055248738073882
  (0, 1611)	0.4871354223825325",1
"  (0, 7012)	0.3415056608526017
  (0, 6075)	0.25401517574843313
  (0, 5616)	0.36195666824188305
  (0, 4179)	0.3415056608526017
  (0, 2363)	0.3824076756311644
  (0, 2328)	0.41736890368265306
  (0, 2321)	0.33619144603813755
  (0, 383)	0.3711526740896261",1
"  (0, 6439)	0.37552821508133855
  (0, 6013)	0.36910727438288604
  (0, 2992)	0.309216439367319
  (0, 2646)	0.2527990711667893
  (0, 2622)	0.32837289072191034
  (0, 2120)	0.26048996916580486
  (0, 825)	0.4289981093984531
  (0, 618)	0.4511020346364596",1
"  (0, 6075)	0.21240799014382966
  (0, 4976)	0.3490046991033479
  (0, 4408)	0.3490046991033479
  (0, 4215)	0.3490046991033479
  (0, 3378)	0.3490046991033479
  (0, 3032)	0.3490046991033479
  (0, 2398)	0.3490046991033479
  (0, 902)	0.3490046991033479
  (0, 739)	0.31977005136430403",1
"  (0, 5656)	0.49869935347136096
  (0, 4345)	0.5973209517761706
  (0, 3481)	0.6280976320735943",0
"  (0, 6935)	0.35693827337174405
  (0, 4146)	0.3124498447824377
  (0, 3904)	0.3438895971649571
  (0, 3771)	0.37532934954747654
  (0, 3769)	0.1712270956951798
  (0, 2469)	0.28101009239991837
  (0, 2120)	0.21673484751500982
  (0, 2028)	0.3185065583306578
  (0, 983)	0.3438895971649571
  (0, 609)	0.37532934954747654",1
"  (0, 6075)	0.2654395202395543
  (0, 3545)	0.33357727731674114
  (0, 2629)	0.4361400897801105
  (0, 1330)	0.37823568644097283
  (0, 1086)	0.4361400897801105
  (0, 551)	0.4361400897801105
  (0, 422)	0.3233439235786919",1
"  (0, 6444)	0.318505508688213
  (0, 6099)	0.5595548850179364
  (0, 6075)	0.358097817674791
  (0, 1685)	0.5232323707591627
  (0, 254)	0.428306444913131",1
"  (0, 5397)	0.3503225810809004
  (0, 5090)	0.3503225810809004
  (0, 5038)	0.3503225810809004
  (0, 4902)	0.3503225810809004
  (0, 2898)	0.2245672766707261
  (0, 2670)	0.6419550798835675
  (0, 1001)	0.21577666787593108",1
"  (0, 6819)	0.6495140384677522
  (0, 6075)	0.3953011860172225
  (0, 5526)	0.6495140384677522",1
"  (0, 6075)	0.25574585932502014
  (0, 4788)	0.3292233607714736
  (0, 4021)	0.420212566486867
  (0, 2296)	0.38501313682782584
  (0, 2259)	0.420212566486867
  (0, 739)	0.38501313682782584
  (0, 296)	0.420212566486867",1
"  (0, 6359)	0.4366581058035623
  (0, 6075)	0.2657547903281416
  (0, 5014)	0.38830593798892776
  (0, 3677)	0.3786849277531313
  (0, 2388)	0.4366581058035623
  (0, 2323)	0.4366581058035623
  (0, 2244)	0.2513557465842493",1
"  (0, 6989)	0.260288226877561
  (0, 6075)	0.25062597226014044
  (0, 4636)	0.37730539217750725
  (0, 3091)	0.37730539217750725
  (0, 2809)	0.1934167096686549
  (0, 2591)	0.2614874515303935
  (0, 2049)	0.3662005607601473
  (0, 1854)	0.34281063513790994
  (0, 1456)	0.3662005607601473
  (0, 422)	0.30529886863938926",1
"  (0, 6508)	0.4599349034025969
  (0, 6416)	0.2888778604202784
  (0, 6328)	0.28993097511442295
  (0, 6075)	0.2943441109903925
  (0, 5610)	0.3699016146871432
  (0, 3586)	0.41942302626916445
  (0, 2120)	0.2792749575834189
  (0, 323)	0.378911149135732",1
"  (0, 6075)	0.35164134560838445
  (0, 5850)	0.4283502783567899
  (0, 5504)	0.48098124843835777
  (0, 3580)	0.5777771445097197
  (0, 2307)	0.3573443899423336",1
"  (0, 7013)	0.39286994367726563
  (0, 7012)	0.3214597651161939
  (0, 6884)	0.30048254958060994
  (0, 6075)	0.23910484683673716
  (0, 5610)	0.30048254958060994
  (0, 2870)	0.3214597651161939
  (0, 2809)	0.1845254596877408
  (0, 2125)	0.3599608899018556
  (0, 2105)	0.2885507113407839
  (0, 651)	0.39286994367726563",1
"  (0, 6087)	0.34299582767830344
  (0, 5835)	0.4120226111478357
  (0, 5597)	0.3573201794755319
  (0, 4950)	0.33713113953799423
  (0, 4757)	0.4120226111478357
  (0, 3069)	0.3318849972290289
  (0, 1279)	0.2628582137594967
  (0, 515)	0.3496446627191039",0
"  (0, 6827)	0.319176657565622
  (0, 6416)	0.25201099308265
  (0, 4397)	0.2071460784487438
  (0, 3965)	0.29521243501206323
  (0, 3591)	0.3580361315946694
  (0, 2644)	0.42191115024518194
  (0, 2237)	0.4012375735240827
  (0, 2120)	0.24363362184044984
  (0, 2017)	0.42191115024518194",1
"  (0, 6087)	0.37935374399899985
  (0, 5723)	0.3618163903888133
  (0, 1832)	0.3867073625051848
  (0, 1452)	0.7587074879979997",0
"  (0, 6141)	0.5307718944723596
  (0, 6088)	0.3935017002690926
  (0, 2503)	0.5307718944723596
  (0, 2502)	0.5307718944723596",1
"  (0, 6886)	0.5011671966028067
  (0, 2120)	0.4327326571854671
  (0, 1133)	0.7493823379653999",1
"  (0, 7132)	0.30827987601279994
  (0, 6234)	0.3521745601630369
  (0, 5986)	0.29013424791320985
  (0, 5504)	0.30827987601279994
  (0, 3221)	0.3393000321377134
  (0, 2898)	0.2373863423754693
  (0, 2408)	0.37032018826262697
  (0, 1768)	0.24623956376297298
  (0, 1747)	0.3293137723733115
  (0, 1323)	0.3521745601630369",1
"  (0, 6368)	0.3693679280052213
  (0, 6088)	0.4164176454540806
  (0, 5296)	0.38501550373971716
  (0, 4397)	0.2757694429386985
  (0, 3424)	0.534159579391653
  (0, 2861)	0.42491351859063436",0
"  (0, 7094)	0.3545252740026579
  (0, 7093)	0.30745651114227024
  (0, 6504)	0.26819910285126874
  (0, 6270)	0.3008521049578527
  (0, 6162)	0.3545252740026579
  (0, 6088)	0.26283663389353923
  (0, 5605)	0.337153594094688
  (0, 3130)	0.337153594094688
  (0, 3014)	0.2855707827592386
  (0, 78)	0.337153594094688",1
"  (0, 5848)	0.3805952053249272
  (0, 4756)	0.35520392587711175
  (0, 4291)	0.3389526599786891
  (0, 2146)	0.49279984260854404
  (0, 1450)	0.32049154616853837
  (0, 572)	0.5181911220563595",0
